,name,age,season,hometown,occupation,result,city,state,job_category
271,Elizabeth Kreft (D.C.),29,14,"Union, Kentucky","Captain, Air National Guard",19,Union, Kentucky,Other
272,Emily Harkins,23,14,"West Chester, Ohio",Fit Model,20,West Chester, Ohio,Entertainment
273,Amanda Meyer,26,17,"Bakersfield, California",Fit Model,12,Bakersfield, California,Entertainment
274,Kimberly Sullivan,24,14,"Norman, Oklahoma",NBA Dancer,21,Norman, Oklahoma,Entertainment
275,Sydney Lotuaco,27,23,"Virginia Beach, Virginia",NBA Dancer,10,Virginia Beach, Virginia,Entertainment
276,Sheila Lidner,25,14,"Scottsdale, Arizona",Commercial Pilot,23,Scottsdale, Arizona,Business
277,Stephanie Mueller,24,14,"Morris, Illinois",Dance Teacher,24,Morris, Illinois,Education
278,Tiana Kruzel,31,14,"Calgary, Alberta",Medical Technician,25,Calgary, Alberta,Health
279,Emily Maynard,24,15,"Morgantown, West Virginia",Children's Hospital Event Planner,1,Morgantown, West Virginia,Service
280,Chantal O'Brien,28,15,"Mercer Island, Washington",Executive Assistant,2,Mercer Island, Washington,Business
281,Celeste Creel,24,5,"Ithaca, New York",Executive Assistant,13,Ithaca, New York,Business
282,Bibiana Julian,30,22,"Miami, Florida",Executive Assistant,17,Miami, Florida,Business
283,Tandra Steiner,30,19,"Sandy, Utah",Executive Assistant,5,Sandy, Utah,Business
284,Ashley Hebert,26,15,"Madawaska, Maine",Dental Student,3,Madawaska, Maine,Student
285,Shawntel Newton,25,15,"Chico, California",Funeral Director,4,Chico, California,Business
286,Michelle Money,30,15,"Salt Lake City, Utah",Hairstylist,5,Salt Lake City, Utah,Service
287,Clare Crawley,32,18,"Sacramento, California",Hairstylist,2,Sacramento, California,Service
288,Jean-Marie Callahan,26,5,"Gibson, North Carolina",Hairstylist,15,Gibson, North Carolina,Service
289,"Meredith ""MJ"" Snyder",23,25,"Hudson, Ohio",Hairstylist,15,Hudson, Ohio,Service
290,Britt Billmaier,25,15,"Woodinville, Washington",Food Writer,6,Woodinville, Washington,Entertainment
291,Jackie Gordon,26,15,"Newport, Rhode Island",Artist,7,Newport, Rhode Island,Entertainment
292,"Allison ""Alli"" Travis",24,15,"Worthington, Ohio",Apparel Merchant,8,Worthington, Ohio,Sales and Real Estate
293,Lisa Morrisey,24,15,"Ottawa, Kansas",Marketing Coordinator,9,Ottawa, Kansas,Sales and Real Estate
294,Kimberly Coon,27,15,"Orlando, Florida",Marketing Coordinator,15,Orlando, Florida,Sales and Real Estate
295,Lexi Buchanan,26,24,"Jacksonville, Florida",Marketing Coordinator,11,Jacksonville, Florida,Sales and Real Estate
296,Marissa May,26,15,"Mesa, Arizona",Sports Publicist,10,Mesa, Arizona,Entertainment
297,Lindsay Hill,25,15,"Plano, Texas",First Grade Teacher,12,Plano, Texas,Education
298,Elise Mosca,27,18,"Forty Fort, Pennsylvania",First Grade Teacher,12,Forty Fort, Pennsylvania,Education
299,Meghan Merritt,30,15,"Princeton, New Jersey",Fashion Marketer,13,Princeton, New Jersey,Entertainment
300,Stacey Quirpel,26,15,"Quincy, Massachusetts",Bartender,14,Quincy, Massachusetts,Service
301,Amber James,30,20,"Kankakee, Illinois",Bartender,12,Kankakee, Illinois,Service
302,Jami Letain,23,20,"St. Albert, Alberta",Bartender,15,St. Albert, Alberta,Service
303,Genevieve Parisi,26,26,"Rehoboth, Massachusetts",Bartender,8,Rehoboth, Massachusetts,Service
304,Amber James,29,19,"Kankakee, Illinois",Bartender,28,Kankakee, Illinois,Service
305,Sarah Powell,27,15,"Denver, Colorado",Real Estate Broker,16,Denver, Colorado,Sales and Real Estate
306,Keltie Busch,28,15,"Sherwood Park, Alberta",Radio City Rockette,18,Sherwood Park, Alberta,Entertainment
307,Raichel Goodyear,29,15,"Fullerton, California",Manscaper,20,Fullerton, California,Service
308,Britnee Marks,25,15,"Holland, Pennsylvania",Paralegal,21,Holland, Pennsylvania,Service
309,Liangy Fernandez,30,2,"Coral Gables, Florida",Paralegal,22,Coral Gables, Florida,Service
310,"Jessica ""J"" Adams",26,15,"Seattle, Washington",Operations Manager,23,Seattle, Washington,Business
311,Jill Ruskowski,28,15,"Frisco, Texas",Sales Director,24,Frisco, Texas,Sales and Real Estate
312,Lacey Garbelman,27,15,"Tampa, Florida",Insurance Agent,25,Tampa, Florida,Sales and Real Estate
313,Lauren Moore,26,15,"Culpeper, Virginia",High School Teacher,26,Culpeper, Virginia,Education
314,Lisa Pastrich,27,15,"Dix Hills, New York",Sales Consultant,27,Dix Hills, New York,Sales and Real Estate
315,Sarah Ledtke,25,15,"Saginaw, Michigan",Musical Theatre Performer,30,Saginaw, Michigan,Entertainment
316,Lindzi Cox,27,16,"Ocala, Florida",Business Development Manager,2,Ocala, Florida,Sales and Real Estate
317,Emily O'Brien,27,16,"Chapel Hill, North Carolina",PhD Student,5,Chapel Hill, North Carolina,Student
318,Rachel Truehart,27,16,"Southampton, Massachusetts",Fashion Sales Representative,6,Southampton, Massachusetts,Sales and Real Estate
319,Jamie Otis,25,16,"Dryden, New York",Registered Nurse,7,Dryden, New York,Health
320,Angela Vaught,27,2,"Kansas City, Missouri",Registered Nurse,4,Kansas City, Missouri,Health
321,Josephine Tutman,24,21,"Santa Cruz, California",Registered Nurse,12,Santa Cruz, California,Health
322,Rianna Hockaday,26,26,"Mount Pleasant, Texas",Registered Nurse,29,Mount Pleasant, Texas,Health
323,Katherine Izzo,26,27,"Tampa, Florida",Registered Nurse,5,Tampa, Florida,Health
324,Casey Shteamer,26,16,"Leawood, Kansas",Trading Clerk,8,Leawood, Kansas,Business
325,Blakeley Jones ,34,16,"Rutherfordton, North Carolina",VIP Cocktail Waitress,9,Rutherfordton, North Carolina,Service
326,Jennifer Fritsch,28,16,"Cache, Oklahoma",Accountant,10,Cache, Oklahoma,Business
327,Jessica Moser,23,20,"Boca Raton, Florida",Accountant,24,Boca Raton, Florida,Business
328,Laura Pellerito,26,23,"Dallas, Texas",Accountant,28,Dallas, Texas,Business
329,Elyse Myers,24,16,"Chicago, Illinois",Personal Trainer,11,Chicago, Illinois,Health
330,Valerie Eredia,26,18,"Sutter, California",Personal Trainer,27,Sutter, California,Health
331,Melina Nasab,27,26,"West Hollywood, California",Personal Trainer,19,West Hollywood, California,Health
332,Monica Spannbauer,33,16,"Yuba, California",Dental Consultant,12,Yuba, California,Health
333,Erika Uhlig,23,16,"Charlottesville, Virginia",Law Student,14,Charlottesville, Virginia,Law
334,Daria Rose,24,26,"Baldwin, New York",Law Student,24,Baldwin, New York,Law
335,Jenna Burke,27,16,"Loveland, Ohio",Blogger,17,Loveland, Ohio,Entertainment
336,Shawn Reynolds,28,16,"Cincinnati, Ohio",Financial Advisor,18,Cincinnati, Ohio,Business
337,Lekha Ravi,29,27,"Miami, Florida",Financial Advisor,24,Miami, Florida,Business
338,Amber Bacon,23,16,"Port Coquitlam, British Columbia",Labor and Delivery Nurse,19,Port Coquitlam, British Columbia,Health
339,Amber Tierney,28,16,"Waverly, Nebraska",Critical Care Nurse,20,Waverly, Nebraska,Health
340,Dianna Martinez,30,16,"San Gabriel, California",Nonprofit Director,22,San Gabriel, California,Business
341,Holly Johnson,34,16,"Salyersville, Kentucky",Pharmaceutical Sales Representative,23,Salyersville, Kentucky,Sales and Real Estate
342,Lyndsie James,29,16,"London, England[b]",Internet Entrepreneur,24,London, England[b],Business
343,Lindsay Yenter,24,17,"Fort Leonard Wood, Missouri",Substitute Teacher,2,Fort Leonard Wood, Missouri,Education
344,AshLee Frazier,32,17,"Houston, Texas",Personal Organizer,3,Houston, Texas,Service
345,Desiree Hartsock,26,17,"Northglenn, Colorado",Bridal Stylist,4,Northglenn, Colorado,Service
346,Lesley Murphy,25,17,"Fort Smith, Arkansas",Political Consultant,5,Fort Smith, Arkansas,Business
347,Tierra LiCausi,24,17,"Las Vegas, Nevada",Leasing Consultant,6,Las Vegas, Nevada,Sales and Real Estate
348,Daniella McBride,24,17,"Belmont, California",Commercial Casting Associate,7,Belmont, California,Entertainment
349,Selma Alameri,29,17,"Borrego Springs, California",Real Estate Dealer,8,Borrego Springs, California,Sales and Real Estate
350,Robyn Howard,24,17,"Topeka, Kansas",Oil Field Account Manager,10,Topeka, Kansas,Sales and Real Estate
351,"Jacqueline ""Jackie"" Parr",25,17,"Ormond Beach, Florida",Cosmetics Consultant,11,Ormond Beach, Florida,Service
352,Leslie Hughes,28,17,"Ruskin, Florida",Poker Dealer,13,Ruskin, Florida,Service
353,Taryn Renee Daniels,30,17,"Troutdale, Oregon",Health Club Manager,15,Troutdale, Oregon,Health
354,Brooke Burchette,25,17,"Pittsburgh, Pennsylvania",Community Organizer,17,Pittsburgh, Pennsylvania,Business
355,Diana Weeks Willardson,31,17,"Sandy, Utah",Salon Owner,18,Sandy, Utah,Service
356,"Katherine ""Katie"" Levans",27,17,"Woodstock, Illinois",Yoga Instructor,19,Woodstock, Illinois,Health
357,Sierra Jackson,26,26,"Oklahoma City, Oklahoma",Yoga Instructor,16,Oklahoma City, Oklahoma,Health
358,Kimberly Sherbach,28,19,"Wantagh, New York",Yoga Instructor,13,Wantagh, New York,Health
359,Ashley Harper,25,17,"Garner, North Carolina",Fashion Model,20,Garner, North Carolina,Entertainment
360,Kelly Dutton,28,17,"Chattanooga, Tennessee",Cruise Ship Entertainer,22,Chattanooga, Tennessee,Entertainment
361,Paige Vigil,25,17,"Minnetonka, Minnesota",Jumbotron Operator,26,Minnetonka, Minnesota,Service
362,Nikki Ferrell,26,18,"Kearney, Missouri",Pediatric Nurse,1,Kearney, Missouri,Health
363,Hailey Malles,26,26,"Orlando, Florida",Pediatric Nurse,25,Orlando, Florida,Health
364,Andi Dorfman,26,18,"Buckhead, Georgia",Assistant District Attorney,3,Buckhead, Georgia,Law
365,Renee Oteri,32,18,"Martha's Vineyard, Massachusetts",Real Estate Agent,4,Martha's Vineyard, Massachusetts,Sales and Real Estate
366,Lace Morris,25,20,"Denver, Colorado",Real Estate Agent,17,Denver, Colorado,Sales and Real Estate
367,Ashley Luebke,25,22,"West Palm Beach, Florida",Real Estate Agent,11,West Palm Beach, Florida,Sales and Real Estate
368,Kate Gallivan,32,26,"Clarksville, Tennessee",Real Estate Agent,21,Clarksville, Tennessee,Sales and Real Estate
369,Nicole Meacham,31,19,"Scottsdale, Arizona",Real Estate Agent,9,Scottsdale, Arizona,Sales and Real Estate
370,Chelsie Webster,24,18,"Lexington, Ohio",Science Educator,5,Lexington, Ohio,Education
371,Sharleen Joynt,29,18,"Ottawa, Ontario[a]",Opera Singer,6,Ottawa, Ontario[a],Entertainment
372,"Katherine ""Kat"" Hurd",29,18,"Iowa City, Iowa",Medical Sales Rep,7,Iowa City, Iowa,Sales and Real Estate
373,Victoria Fuller,26,24,"Virginia Beach, Virginia",Medical Sales Rep,3,Virginia Beach, Virginia,Sales and Real Estate
374,Cassandra Ferguson,22,18,"Rochester Hills, Michigan",Former NBA Dancer,8,Rochester Hills, Michigan,Entertainment
375,Danielle Ronco,25,18,"Litchfield, Illinois",Psychiatric Nurse,10,Litchfield, Illinois,Health
376,Kelly Travis,27,18,"Conyers, Georgia",Dog Lover,11,Conyers, Georgia,Other
377,Lauren Solomon,26,18,"Clinton, Michigan",Music Composer,13,Clinton, Michigan,Entertainment
378,Christy Hansen,24,18,"Aurora, Illinois",Marketing Manager,14,Aurora, Illinois,Sales and Real Estate
379,Elizabeth Whitelaw,24,21,"New Trier, Illinois",Marketing Manager,19,New Trier, Illinois,Sales and Real Estate
380,Brittane Johnson,27,22,"San Diego, California",Marketing Manager,26,San Diego, California,Sales and Real Estate
381,Corrinne Jones,22,25,"Pomfret, Connecticut",Marketing Manager,34,Pomfret, Connecticut,Sales and Real Estate
382,Eliza Isichei,25,26,"Tampa, Florida[b]",Marketing Manager,9,Tampa, Florida[b],Sales and Real Estate
383,Davia Bunch,25,27,"Roebuck, South Carolina",Marketing Manager,12,Roebuck, South Carolina,Sales and Real Estate
384,"Lucinda ""Lucy"" Aragon",25,18,"Santa Barbara, California",Free Spirit,15,Santa Barbara, California,Other
385,Amy Long,27,18,"Clermont, Florida",Local News Reporter,16,Clermont, Florida,Entertainment
386,Victoria Lima,24,18,"Porto Alegre, Brazil[b]",Legal Assistant,18,Porto Alegre, Brazil[b],Service
387,Alexis Morgado,24,18,"Tampa, Florida",Communications Director,19,Tampa, Florida,Sales and Real Estate
388,Amy Jokinen,31,18,"Apopka, Florida",Massage Therapist,20,Apopka, Florida,Service
389,Debbie Merkett,27,5,"Pinetops, North Carolina",Massage Therapist,14,Pinetops, North Carolina,Service
390,Ashley Poe,25,18,"Roanoke, Texas",Grade School Teacher,21,Roanoke, Texas,Education
391,Sarah Vendal,26,21,"Palmdale, California",Grade School Teacher,15,Palmdale, California,Education
392,Christine Llano,23,18,"Miami, Florida",Police Support Specialist,22,Miami, Florida,Law
393,Lacy Faddoul,25,18,"Antelope Acres, California",Nursing Home Owner,24,Antelope Acres, California,Health
394,Lauren Higginson,25,18,"Edmond, Oklahoma",Mineral Coordinator,25,Edmond, Oklahoma,Business
395,Maggie Gantt,25,18,"Wagener, South Carolina",Personal Banker,26,Wagener, South Carolina,Business
396,Helene Eksterowicz,27,2,"Gloucester, New Jersey",School Psychologist,1,Gloucester, New Jersey,Education
397,Brooke Smith,22,2,"Albertville, Alabama",College Student,2,Albertville, Alabama,Student
398,Fatima Rivas,22,2,"Long Beach, California",College Student,21,Long Beach, California,Student
399,Gwen Gioia,31,2,"Philadelphia, Pennsylvania",Executive Recruiter,3,Philadelphia, Pennsylvania,Business
400,Lauren Griffin,26,22,"Indianapolis, Indiana",Executive Recruiter,21,Indianapolis, Indiana,Business
401,Cassidy Timbrooks,26,26,"Cave Creek, Arizona",Executive Recruiter,23,Cave Creek, Arizona,Business
402,Bailey Brown,27,27,"Brentwood, Tennessee",Executive Recruiter,17,Brentwood, Tennessee,Business
403,Christi Weible,23,2,"Boise, Idaho",Assistant Financial Advisor,7,Boise, Idaho,Business
404,Heather Campion,24,2,"Walnut Creek, California",Marriage Therapy Trainee,8,Walnut Creek, California,Service
405,Kyla Dickerson,22,2,"Midvale, Utah",Airline Supervisor,9,Midvale, Utah,Business
406,Shannon Fries,26,2,"North Lindenhurst, New York",Graphic Artist,10,North Lindenhurst, New York,Entertainment
407,Dana Norris,24,2,"Beverly Hills, California",Radio Sales,11,Beverly Hills, California,Sales and Real Estate
408,Erin B.,25,2,"West Chester, Pennsylvania",Publications Quality Control,12,West Chester, Pennsylvania,Business
409,Frances Dinglasan,30,2,"San Francisco, California",Strategic Planning Analyst,14,San Francisco, California,Business
410,Amber West,26,2,"Chapel Hill, North Carolina",Psychologist,16,Chapel Hill, North Carolina,Health
411,Cari,29,2,"Granite City, Illinois",3rd Grade Teacher,18,Granite City, Illinois,Education
412,Christy,24,2,"Avondale, Arizona",Radiological Technologist,19,Avondale, Arizona,Health
413,Lori Todd,26,2,"Dallas, Texas",Former NBA Cheerleader,23,Dallas, Texas,Entertainment
414,Merrilee Donohue,28,2,"Forked River, New Jersey",1st Grade Teacher,24,Forked River, New Jersey,Education
415,Suzi Reid,28,2,"Richmond, Virginia",Communications Specialist,25,Richmond, Virginia,Sales and Real Estate
416,Tara Huckeby,23,5,"Shawnee, Oklahoma",General Contractor,2,Shawnee, Oklahoma,Service
417,Mandy Jaye Jeffreys,26,5,"Midland, Texas",Architect Designer,3,Midland, Texas,Business
418,Karen Lindsay,28,5,"Pleasant Grove, Utah",Pharmaceutical Salesperson,5,Pleasant Grove, Utah,Sales and Real Estate
419,Suzie Williams,23,5,"Ann Arbor, Michigan",Prosthetic Technician,6,Ann Arbor, Michigan,Health
420,Jenny De Schiralli,26,5,"Carrboro, North Carolina",Swim Instructor,7,Carrboro, North Carolina,Health
421,Julie Durda,24,5,"Sacramento, California",Professional Cheerleader,9,Sacramento, California,Entertainment
422,Katie Gehart,22,5,"Scottsdale, Arizona",LASIK Eye & Skin Center Manager,10,Scottsdale, Arizona,Health
423,Amber LaRoux,27,5,"Sunriver, Oregon",Consultant,11,Sunriver, Oregon,Sales and Real Estate
424,Mandy Clemens,25,5,"San Diego, California",Professional Soccer Player,18,San Diego, California,Health
425,Holly Reeder,26,5,"Tulsa, Oklahoma",Bank Representative,22,Tulsa, Oklahoma,Business
426,Kristin Clearwater,25,5,"Sausalito, California",Singer,24,Sausalito, California,Entertainment
427,Rachel Clementi,26,5,"Buffalo, New York",Fashion PR Manager,25,Buffalo, New York,Entertainment
428,"Joelle ""JoJo"" Fletcher",24,20,"Dallas, Texas",Real Estate Developer,2,Dallas, Texas,Sales and Real Estate
429,Caila Quinn,24,20,"Hudson, Ohio",Software Sales Representative,3,Hudson, Ohio,Sales and Real Estate
430,Becca Tilley,26,20,"Shreveport, Louisiana",Chiropractic Assistant,5,Shreveport, Louisiana,Health
431,Becca Tilley,25,19,"Shreveport, Louisiana",Chiropractic Assistant,25,Shreveport, Louisiana,Health
432,Lauren Himle,25,20,"Dexter, Michigan",Kindergarten Teacher,7,Dexter, Michigan,Education
433,Olivia Caridi,23,20,"Austin, Texas",Former News Anchor,8,Austin, Texas,Entertainment
434,Jennifer Saviano,25,20,"Davie, Florida",Small Business Owner,10,Davie, Florida,Business
435,Danielle Lombard,27,21,"Danville, California",Small Business Owner,7,Danville, California,Business
436,Jubilee Sharpe,24,20,"Fort Lauderdale, Florida",War Veteran,11,Fort Lauderdale, Florida,Other
437,Rachel Tchen,23,20,"Little Rock, Arkansas",Unemployed,13,Little Rock, Arkansas,Other
438,Shushanna Mkrtychyan,27,20,"Salt Lake City, Utah",Property Manager,16,Salt Lake City, Utah,Business
439,"Amanda ""Mandi"" Kremer",28,20,"Portland, Oregon",Dentist,18,Portland, Oregon,Health
440,"Jacqueline ""Jackie"" Dion",23,20,"Newport Beach, California",Gerontologist,19,Newport Beach, California,Business
441,"Lauren ""LB"" Barr",23,20,"Stillwater, Oklahoma",Fashion Buyer,21,Stillwater, Oklahoma,Entertainment
442,Breanne Rice,30,20,"Seattle, Washington",Nutritional Therapist,22,Seattle, Washington,Health
443,Lauren Russell,26,20,"Houston, Texas",Math Teacher,26,Houston, Texas,Education
444,Maegan Miller,30,20,"Visalia, California",Cowgirl,27,Visalia, California,Service
445,Tiara Soleim,27,20,"Redmond, Washington",Chicken Enthusiast,28,Redmond, Washington,Other
446,Vanessa Grimaldi,29,21,"Montreal, Quebec",Special Education Teacher,1,Montreal, Quebec,Education
447,Trina Scherenberg,33,19,"Algonquin, Illinois",Special Education Teacher,2,Algonquin, Illinois,Education
448,Raven Gates,25,21,"Hoxie, Arkansas",Fashion Boutique Owner,2,Hoxie, Arkansas,Business
449,Corinne Olympios,24,21,"Miami, Florida",Business Owner,4,Miami, Florida,Business
450,Amber Wilkerson,29,22,"Denver, Colorado",Business Owner,24,Denver, Colorado,Business
451,Madison Johnson,26,27,"Fargo, North Dakota",Business Owner,30,Fargo, North Dakota,Business
452,Danielle Maltby,31,21,"Colgate, Wisconsin",Neonatal Nurse,6,Colgate, Wisconsin,Health
453,Lindsay Dobbs,27,26,"Warner Robins, Georgia",Neonatal Nurse,28,Warner Robins, Georgia,Health
454,Genevie Mayo,26,27,"Joppa, Maryland",Neonatal Nurse,13,Joppa, Maryland,Health
455,Whitney Fransway,25,21,"Chanhassen, Minnesota",Pilates Instructor,8,Chanhassen, Minnesota,Health
456,Jasmine Goode,29,21,"Maplewood, New Jersey",Pro Basketball Dancer,9,Maplewood, New Jersey,Entertainment
457,Alexis Waters,23,21,"Secaucus, New Jersey",Aspiring Dolphin Trainer,10,Secaucus, New Jersey,Other
458,Jaimi King,28,21,"New Orleans, Louisiana",Chef,11,New Orleans, Louisiana,Service
459,Taylor Nolan,23,21,"Seattle, Washington",Mental Health Counselor,13,Seattle, Washington,Education
460,Astrid Loch,26,21,"Tampa, Florida",Plastic Surgery Office Manager,14,Tampa, Florida,Business
461,Brittany Farrar,26,21,"Santa Monica, California",Travel Nurse,16,Santa Monica, California,Health
462,"Kaitlyn ""Kaity"" Biggar",27,27,"Kingston, Ontario",Travel Nurse,1,Kingston, Ontario,Health
463,Christen Whitney,25,21,"Martinsville, Indiana",Wedding Videographer,17,Martinsville, Indiana,Service
464,Susie Evans,28,26,"Poquoson, Virginia",Wedding Videographer,1,Poquoson, Virginia,Service
465,Dominique Alexis,25,21,"Los Angeles, California",Restaurant Server,18,Los Angeles, California,Service
466,Lacey Mark,25,21,"Montville, New Jersey",Digital Marketing Manager,21,Montville, New Jersey,Sales and Real Estate
467,"Elizabeth ""Liz"" Sandoz",29,21,"Scottsbluff, Nebraska",Doula,22,Scottsbluff, Nebraska,Health
468,Briana Guertler,28,21,"Salt Lake City, Utah",Surgical Unit Nurse,24,Salt Lake City, Utah,Health
469,Teddi Wright,24,26,"Redlands, California",Surgical Unit Nurse,6,Redlands, California,Health
470,Lauren Hussey,30,21,"Naples, Florida",Law School Graduate,27,Naples, Florida,Law
471,Michelle Ramkissoon,24,21,"Silver Spring, Maryland",Food Truck Owner,28,Silver Spring, Maryland,Business
472,Olivia Burnette,25,21,"Anchorage, Alaska",Apparel Sales Representative,29,Anchorage, Alaska,Sales and Real Estate
473,Lauren Burnham,25,22,"Virginia Beach, Virginia",Technology Salesperson,2,Virginia Beach, Virginia,Sales and Real Estate
474,Kendall Long,26,22,"Santa Clarita, California",Creative Director,3,Santa Clarita, California,Entertainment
475,Tia Booth,26,22,"Weiner, Arkansas",Physical Therapist,4,Weiner, Arkansas,Health
476,Jacqueline Trumbull,26,22,"Morgantown, West Virginia",Research Coordinator,7,Morgantown, West Virginia,Health
477,Chelsea Roy,29,22,"South Portland, Maine",Real Estate Executive Assistant,8,South Portland, Maine,Sales and Real Estate
478,Jenna Cooper,28,22,"Upland, Indiana",Social Media Manager,9,Upland, Indiana,Entertainment
479,Lauren Schleyer,31,22,"Dallas, Texas",Social Media Manager,19,Dallas, Texas,Entertainment
480,Krystal Nielson,29,22,"Missoula, Montana",Fitness Coach,10,Missoula, Montana,Health
481,Marikh Mathias,27,22,"Salt Lake City, Utah",Restaurant Owner,13,Salt Lake City, Utah,Service
482,Brittany Taylor,30,22,"Belton, South Carolina",Tech Recruiter,14,Belton, South Carolina,Business
483,Annaliese Puccini,32,22,"San Mateo, California",Event Designer,18,San Mateo, California,Service
484,Valerie Biles,26,22,"Nashville, Tennessee",Server,22,Nashville, Tennessee,Service
485,"Alison ""Ali"" Harrington",27,22,"Lawton, Oklahoma",Personal Stylist,23,Lawton, Oklahoma,Service
486,"Brianna ""Bri"" Amaranthus",25,22,"Grants Pass, Oregon",Sports Reporter,25,Grants Pass, Oregon,Entertainment
487,Jessica Carroll,26,22,"Calgary, Alberta",Television Host,27,Calgary, Alberta,Entertainment
488,Lauren Jarreau,33,22,"New Roads, Louisiana",Recent Master's Graduate,28,New Roads, Louisiana,Student
489,"D'Nysha ""Nysha"" Norris",30,22,"Anderson, South Carolina",Orthopedic Nurse,29,Anderson, South Carolina,Health
490,Olivia Goethals,23,22,"Geneseo, Illinois",Marketing Associate,30,Geneseo, Illinois,Sales and Real Estate
491,Madison Prewett,23,24,"Auburn, Alabama",Foster Parent Recruiter,2,Auburn, Alabama,Education
492,Kelsey Weier,28,24,"Urbandale, Iowa",Professional Clothier,4,Urbandale, Iowa,Service
493,Mykenna Dorn,22,24,"Langley, British Columbia",Fashion Blogger,7,Langley, British Columbia,Entertainment
494,Sydney Hightower,24,24,"Northport, Alabama",Retail Marketing Manager,8,Northport, Alabama,Sales and Real Estate
495,Tammy Ly,24,24,"Syracuse, New York",House Flipper,9,Syracuse, New York,Service
496,Victoria Paul,27,24,"Alexandria, Louisiana",Nurse,10,Alexandria, Louisiana,Health
497,Revian Chang,24,23,"Plano, Texas",Nurse,29,Plano, Texas,Health
498,Deandra Kanu,23,24,"Bar Harbor, Maine",Home Care Coordinator,13,Bar Harbor, Maine,Health
499,Alayah Benavidez,24,24,"Helotes, Texas",Orthodontist Assistant,16,Helotes, Texas,Health
500,Jasmine Nguyen,25,24,"Houston, Texas",Client Relations Manager,19,Houston, Texas,Sales and Real Estate
501,Sarah Coffin,24,24,"Knoxville, Tennessee",Medical Radiographer,20,Knoxville, Tennessee,Health
502,Courtney Perry,26,24,"Venice, Florida",Cosmetologist,21,Venice, Florida,Service
503,Lauren Jones,26,24,"Glendale, California",Marketing Executive,22,Glendale, California,Sales and Real Estate
504,Ariel Frenkel,28,27,"Manhattan, New York",Marketing Executive,3,Manhattan, New York,Sales and Real Estate
505,Payton Moran,24,24,"Wellesley, Massachusetts",Business Development Rep,23,Wellesley, Massachusetts,Sales and Real Estate
506,Avonlea Elkins,27,24,"Fort Worth, Texas",Cattle Rancher,24,Fort Worth, Texas,Service
507,Jade Gilliland,26,24,"Mesa, Arizona",Media Buyer,26,Mesa, Arizona,Sales and Real Estate
508,Jenna Serrano,22,24,"New Lenox, Illinois",Nursing Student,27,New Lenox, Illinois,Health
509,Amber Andrews,30,25,"Rialto, California",Nursing Student,31,Rialto, California,Health
510,Becca Serrano,25,27,"Burbank, California",Nursing Student,21,Burbank, California,Health
511,Katrina Badowski,28,24,"St. Charles, Illinois",Pro NBA Dancer,28,St. Charles, Illinois,Entertainment
512,Kylie Ramos,26,24,"Davis, California",Entertainment Sales Associate,29,Davis, California,Sales and Real Estate
513,Maurissa Gunn,23,24,"Laurel, Montana",Patient Care Coordinator,30,Laurel, Montana,Health
514,"Briana ""Bri"" Springs",24,25,"San Antonio, Texas",Communications Manager,3,San Antonio, Texas,Sales and Real Estate
515,Jessenia Cruz,27,25,"El Paso, Texas",Social Media Marketer,6,El Paso, Texas,Entertainment
516,Kit Keenan,21,25,"Manhattan, New York",Fashion Entrepreneur,7,Manhattan, New York,Entertainment
517,Abigail Heringer,25,25,"Salem, Oregon",Client Financial Manager,8,Salem, Oregon,Business
518,Chelsea Vaughn,29,25,"Marietta, Georgia",Runway Model,9,Marietta, Georgia,Entertainment
519,Katie Thurston,29,25,"Lynnwood, Washington",Bank Marketing Manager,11,Lynnwood, Washington,Business
520,"Mearg ""Magi"" Tareke",32,25,"Adwa, Ethiopia[b]",Pharmacist,13,Adwa, Ethiopia[b],Health
521,Ryan Claytor,26,25,"Mechanicsville, Virginia",Dancer/Choreographer,14,Mechanicsville, Virginia,Entertainment
522,Catalina Morales,29,25,"Caguas, Puerto Rico[c]",Former Miss Universe Puerto Rico,16,Caguas, Puerto Rico[c],Entertainment
523,Lauren Maddox,29,25,"Miami, Florida",Corporate Attorney,17,Miami, Florida,Law
524,"Mariela ""Mari"" Pepin",24,25,"Severn, Maryland",Marketing Director,18,Severn, Maryland,Sales and Real Estate
525,Victoria Larson,27,25,"Manhattan, New York",Queen,19,Manhattan, New York,Other
526,Anna Redman,24,25,"Owatonna, Minnesota",Copywriter,20,Owatonna, Minnesota,Entertainment
527,Kaili Anderson,26,25,"San Diego, California",Hostess,21,San Diego, California,Service
528,Khaylah Epps,28,25,"Durham, North Carolina",Healthcare Advocate,22,Durham, North Carolina,Health
529,"Kimberly ""Kim"" Li",28,25,"Cypress, California",ICU Nurse,23,Cypress, California,Health
530,"Gabriela ""Gabby"" Windey",30,26,"O'Fallon, Illinois",ICU Nurse,2,O'Fallon, Illinois,Health
531,Sarah Trott,24,25,"Scripps Ranch, California",Broadcast Journalist,24,Scripps Ranch, California,Entertainment
532,Devin Gooden,23,23,"Medford, Oregon",Broadcast Journalist,25,Medford, Oregon,Entertainment
533,Illeana Pennetto,25,25,"South Salem, New York",Health Food Developer,26,South Salem, New York,Health
534,Marylynn Sienna,28,25,"Huntington Beach, California",Event Coordinator,28,Huntington Beach, California,Service
535,Sydney Johnson,28,25,"Franklin, Tennessee",Marketing Specialist,29,Franklin, Tennessee,Sales and Real Estate
